triple5,Unnamed: 0,Trims and Details Style# CLF16296
Private Label,,Ref # L2881
Season: Fall  2012,,Date: 28/Aug/15
Gender: LADY Reg,,Maker: Po#
Descrip: L/S Plaid Dress w/Tie,,"Fabric: Y/D Plaid, Plaid  100% Rayon"
Buyer:,,
Commodity:,,
Sample Accessories,Quantity,Position Size Quality Color Status
Button,9,CF 18L Plastic DTM (to Dominant Colour in the Print)
,4,Cuffs 4 holes
,2,Sleeve tabs
Extra,1,
MC-1-001 Main Label,1,CB centered
MC-3-001 Size Label,1,under Main Label
MC-4-001 HangTag,1,through Size Label
MC-4-999 Sticker,1,on HangTag
MC-4-001 Cord,1,
