Sample Accessories,Quantity,Position Size,Quality,Color Status
Button,9.0,CF 18L,Plastic,DTM (to Dominant Colour in the Print)
,4.0,Cuffs,4 holes,
,2.0,Sleeve tabs,,
Extra,1.0,,,
MC-1-001 Main Label,1.0,CB centered,,
MC-3-001 Size Label,1.0,under Main Label,,
MC-4-001 HangTag,1.0,through Size Label,,
MC-4-999 Sticker,1.0,on HangTag,,
MC-4-001 Cord,1.0,,,
Spesial Sewing Instructions:,,,,
,,,,Placement
Bartack,,,,
"Topstitching Double top stitching 1/8"" apart",,CF placket,,
Coverstitch,,,,
Understitch,,,,
Interlining,,,,
Elastic,,,,
Hem,,,,
Tech: Lana,,,,
