* triple5,Unnamed: 1,Unnamed: 2,Fabric&Date,Unnamed: 3,Style# CLF162967,Unnamed: 4
Private Label,,,,,Ref # L2881,
Season: Fall  2012,Approved,,Date: 28-Aug,,,
Gender: LADY Reg,,Maker: 0,,,Po# 0,
Descrip: L/S Plaid Dress w/Tie,,"Fabric: Y/D Plaid, Plaid  100% Rayon",,,,
Combo Fabric and construction,Content,Colors,Pantone App.Date Contrast App.Date,Accessory 2,App.Date Accessory 3,Ap
,,,,,,p.D
,,,,,,ate
,,,0-Jan 0-Jan,,0-Jan,##
"Self Y/D Plaid, Plaid",100% Rayon,Navy,Fabric # 275,,,
,,White,0-Jan 0-Jan,,0-Jan,##
Combo Fabric and construction,Content,Colors,Pantone App.Date Accessory 1 App.Date,Accessory 2,App.Date Accessory 3,Ap
,,,,,,p.D
,,,,,,ate
,,,0-Jan 0-Jan,,0-Jan,##
,,,0-Jan 0-Jan,,0-Jan,##
Salesman,,S. Appr.Date,Fit App.Date Pre-Prod App.Dat,Wash &,App.Dat Production,Ap
sample,,,e,Tag,e,p.
,,Da15-Dec-09,20-Apr 1-Sep,,0-Jan,##
Production,,,,,,
Required date,,,,,,
Tech: Lana,,,,,,
