Unnamed: 0,JWO COSTING WORKSHEET,Unnamed: 1,Color,Season,Size
,STYLE #: 48-c379,Style#: 48-c379,,,
,PROTO #:,,,,
NAME:,,,,,
SEASON:,R11,Date: 06/14/10,,,
DATE:,06/14/10,,,,
SIZE RANGE:,XS-L,Punch:,,,
NOTES:,,,,,
,,DESCRIPTION,,,
,,WHOLESALE,$28.00,PRICE 5,$  11.95
,,LINE:,,,
,,NEW PATTERN:,,,
FABRIC AND CUTTING INSTRUCTIONS,Actual Fab. $,EXISTING PATTERN:,,,
SELF,"48% RAYON, 48% POLYESTER, 4% SPANDEX 2.40",CUT ALONE:,,,
CONTRAST 1,"95% RAYON, 5% SPANDEX 2.50",CUT WITH:,,,
CONTRAST 2,,,,,
CONTRAST 3,,PRE-PROD. DUE DATE:,,,
,Cost Per Est. Use Cost Per Actual,,,,
FABRIC TOTALS,Cut able Width Actual $,ORDER IN DATE:,,,
,Unit 10% Garment Yield,,,,
248--58,58 $3.10 1.28 $3.97 0.00,COMPLETE DATE:,,,
285FL58,58 $3.20 0.03 $0.10 0.00,CUT DUE DATE:,,,
,0.00 $0.00 0.00,,,,
,0 $0.00 0.00,NOTES:,,,
,$4.06 0.00,,,,
TRIM ITEM,Cost/Unit Qty + 10% Cost per Actual,,,,
"Label:JWO,",OK,,,,
"FLIP,STRIP,",COT,,SKETCH,,
,,Reference#:,,Season/Yr:,
PCL:,,,,,
"Hanger:  N,  F,  S, D.FG",,,,,
Bag:38 -  48 -  60 -  72,,,,,
HTag: JWO -OK -JWOC-O,,,,,
Barb:,"3"" 1.00 1.00",,,,
,$0.00,,,,
SPAGHETTI,$0.26 0.5 $0.13,,,,
,$0.00,,,,
,$0.00,,,,
,$0.00,,,,
,$0.00,,,,
,$0.00,,,,
,$0.00,,,,
,$0.00,Reference:,,,
,$0.00,Season:,,Year:,
,$0.00,,,,
,$0.00,SWATCH,Code:,,
,$0.00,,Content:,,
,$0.00,,Care:,,
,$0.00,,,,
,$0.00,,,,
TOTAL MATERIALS,$5.19 $1.00,,,,
TOTAL LABOR,$4.00 $3.12,,Supplier:,,
TOTAL M & L,$9.19 $4.12,,,,
.30% of TOTAL M&L ( PRICE 5 ),$11.95 $4.94,,Contact:,,
