"FLIP,STRIP,",COT,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,SKETCH,Unnamed: 8
,,,,,,,,Reference#:,,Season/Yr:
PCL:,,,,,,,,,,
"Hanger:  N,  F,  S, D.FG",,,,,,,,,,
Bag:38 -  48 -  60 -  72,,,,,,,,,,
HTag: JWO -OK -JWOC-O,,,,,,,,,,
Barb:,"3""",,,,1.00,,1.0,,,
,,,,,$0.00,,,,,
SPAGHETTI,,$0.26,0.5,,$0.13,,,,,
,,,,,$0.00,,,,,
,,,,,$0.00,,,,,
,,,,,$0.00,,,,,
,,,,,$0.00,,,,,
,,,,,$0.00,,,,,
,,,,,$0.00,,,,,
,,,,,$0.00,,,Reference:,,
,,,,,$0.00,,,Season:,,Year:
,,,,,$0.00,,,,,
,,,,,$0.00,,,SWATCH,Code:,
,,,,,$0.00,,,,Content:,
,,,,,$0.00,,,,Care:,
,,,,,$0.00,,,,,
,,,,,$0.00,,,,,
TOTAL MATERIALS,,,,,$5.19,$,1.0,,,
TOTAL LABOR,,,,$,4.00,$,3.12,,Supplier:,
TOTAL M & L,,,,$,9.19,$,4.12,,,
